,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
1,530.6979128364937,-51.07876720957169,-9.502783232196501,-204.08980762537982,241.05534255876898,-54.47625013991473,-30.521191324361848,-85.91828186292491,53.08970589689881,137.850634122866,-251.23280315534024,273.68360917953765,-298.2961401046979,-20.28373296427813,-9.86240601162219,83.97355668674001
2,645.0516224047883,-56.011711388508125,0.33983994423674374,-192.89445796093315,260.87839489563686,-65.11089058341672,-21.12034170754227,-194.98835579107356,5.873031996438315,136.27030694782206,-215.2291627817795,249.2384583556622,-307.29844217340747,-83.39897449232456,-35.34076253867305,59.82492439168753
4,208.02050929102643,-16.78403557182173,10.995161413987136,-69.48845437580208,242.74579906829211,-22.315494254662717,-14.741590426002267,-32.826710961223675,-6.209694267067932,51.396838771495396,-72.11886988867376,82.25345813230014,-107.97977022512538,-19.344098833454545,-10.616402974724311,86.83296558287475
5,386.04280686215884,-76.60957883504787,-87.4518473643724,-137.81899170934165,149.70049969916923,-50.65576142458342,-38.23578819080021,-62.435096062761275,-3.4228668801762425,16.97456740277053,-169.2995707217803,236.51480324109173,-125.99518831039867,8.048315378795987,-26.602885322111593,-34.720680042062604
6,801.4519369215344,-80.39835444928487,-146.54085924057938,-234.73561596532306,275.7010618175658,-83.80981420534178,-55.286416017505886,-112.39817387228209,25.372383288231916,137.9799416428263,-294.76229330739835,335.3048682413609,-378.5528332385741,8.669218363234425,-15.663964838255898,78.95394879759856
7,715.1344289994195,-64.86799539935569,14.495186082008237,-211.42378508809597,249.06028954191885,-72.47048942068572,-26.655470216272697,-203.13310919926653,8.463841002991813,146.55967141866384,-239.6941485219073,281.5313526866215,-334.8454899296416,-66.43437166708041,-30.574601580927855,62.42333207105256
8,645.3524458168856,-60.94585934311483,104.79248411713189,-185.64311895959182,226.15773304453,-62.921853156444676,-44.784018928919,-77.30626924451752,13.301077568052774,130.4660126124822,-238.92720216342207,274.8531573735731,-293.78621536292553,58.495891322782576,19.105762086535638,68.90886562298014
9,342.6845488550013,96.98834553365371,0.5012672239236248,-101.32675023374057,128.57426568171002,-27.242138981300876,-16.863728346314943,-48.08736936315631,19.311567162303206,66.75272916561207,-122.74287104485734,220.74969906308118,-147.96870454361547,-14.980567403421036,-16.86260054894599,30.541207791495484
11,805.5427909936615,-70.09707676336915,-124.19541557199206,-239.25214535891197,265.012951630927,-82.53124503496716,-61.84250816522532,-113.2980604141815,36.11458493748213,142.91016522090666,-270.0900307805253,306.7206901663548,-393.54825817277066,-14.841904597077537,-20.2503118563302,105.22916550413355
12,521.9914482464111,-27.066657924112214,-30.425167363373074,-152.0944371580508,172.6803386048942,-35.311933442004914,-14.497759845449858,-55.52608656149325,36.290166292352566,140.60059352107479,-214.5107877602158,195.05338430351904,-35.413114952141555,-23.159880614595323,7.267123867203509,93.03112877017989
13,847.1218722180955,-70.5737081595619,-141.49141088451867,-247.2394600080649,286.97340889057205,-81.44447099945633,-52.31811623476098,-98.21458242005575,32.87334675305914,168.11356781398578,-302.1850078101294,330.5753476893615,-411.5735241965586,3.3229819474093976,-5.587295040193384,107.68643712609837
