emotion,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1768,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159,
,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano,gpt-4o,gpt-4o-mini,gpt-5.1,gpt-5.2,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4-turbo,gpt-4,gpt-3.5-turbo,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano,gpt-4o,gpt-4o-mini,gpt-5.1,gpt-5.2,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4-turbo,gpt-4,gpt-3.5-turbo,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano,gpt-4o,gpt-4o-mini,gpt-5.1,gpt-5.2,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4-turbo,gpt-4,gpt-3.5-turbo,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano,gpt-4o,gpt-4o-mini,gpt-5.1,gpt-5.2,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4-turbo,gpt-4,gpt-3.5-turbo,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano,gpt-4o,gpt-4o-mini,gpt-5.1,gpt-5.2,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4-turbo,gpt-4,gpt-3.5-turbo,
Admiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aesthetic-Appreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Amusement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,50,10,0,50,0,1,0,10,0,50,0,50,0,0,0,50,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,50,10,0,1,0,0,0,50,50,0,10,0,0,0,0,0,50,0,
Anger,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anxiety,10,10,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,50,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,10,0,0,
Awe,0,0,0,0,1,10,50,50,50,0,0,0,0,0,50,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Awkwardness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,
